Type,air_temp,process_temp,rotational_speed,torque,tool_wear,temp_difference,power,machine_failure,TWF,HDF,PWF,OSF,RNF
L,27.79266121488304,32.212088935562335,1446.3232805416094,52.54432957613478,93,4.419427720679295,7.957705458263327,0,0,0,0,0,0
L,25.10325300562084,38.1330687831594,1708.687967539275,47.81891513561379,228,13.029815777538563,8.55577014795864,1,0,1,0,0,0
L,25.25226303169203,34.54430378687694,1740.0722010609513,34.29628972548083,79,9.292040755184907,6.249007366580264,0,0,0,0,0,0
H,23.901857824092374,34.55286720957454,1479.700117910704,58.049928762247205,43,10.651009385482169,8.994396485257084,1,0,0,1,0,0
L,24.141652120701433,26.900939967668634,1458.3986973993694,33.03948371201544,244,2.759287846967201,5.045522513963456,1,1,0,0,0,0
L,25.76751857955385,33.84817044610888,1344.7346453796617,59.335231728678146,163,8.08065186655503,8.354988669862205,1,0,0,1,0,0
H,22.889553019751926,22.960681902774308,1478.0251841994489,27.00299045418014,125,0.07112888302238218,4.179172768583828,0,0,0,0,0,0
H,25.51427693161619,36.187288359683826,988.6128243066325,38.549054655500555,129,10.673011428067635,3.9905853190916387,0,0,0,0,0,0
H,28.02216039027026,38.38645865946529,1409.7194573236543,44.55168573879401,155,10.364298269195032,6.576479397125308,0,0,0,0,0,0
L,20.73272831668236,31.102348598937713,1483.8405104226695,43.478843259446066,111,10.369620282255354,6.755567431904051,0,0,0,0,0,0
H,21.917376243845773,36.876690735444384,1342.9906756231655,41.8319648044561,39,14.959314491598612,5.88271609166293,1,0,1,0,0,0
H,26.351219923006116,32.80477160848433,1371.2625582803707,52.730246427232224,62,6.453551685478214,7.571414933461868,0,0,0,0,0,0
L,27.727935747321727,41.1605763097613,1440.232746222179,44.42485993241403,62,13.432640562439577,6.699700316334692,1,0,1,0,0,0
H,24.020214539720637,36.14006864603034,1498.7023291088692,45.14909343106364,16,12.119854106309706,7.08534570495173,0,0,0,0,0,0
L,21.003518769910922,29.806801447034736,1672.565401904182,33.93738429943653,232,8.803282677123814,5.943716734069501,0,0,0,0,0,0
M,27.863848347881504,40.85486197525737,1585.2828907688233,48.19593909804575,37,12.991013627375867,8.000439545200852,1,0,0,1,0,0
H,23.37786969617095,39.1350861718972,1676.2323778176349,35.581986626096835,127,15.75721647572625,6.245411314108647,0,0,0,0,0,0
M,24.277507314144774,32.939282325985765,1614.5458974000662,51.39852742719067,163,8.66177501184099,8.689558281672825,0,0,0,0,0,0
L,25.638089744639554,37.47756178608212,1522.9420244794242,54.42024067744711,159,11.839472041442566,8.6784158649182,1,0,0,1,0,0
H,23.667133256178484,37.39763754334385,1946.3082796365402,40.787773443367925,181,13.730504287165363,8.31262629955669,1,0,1,0,0,0
L,23.24774054568561,32.87197433019071,1356.777420313085,45.23799632958805,186,9.624233784505101,6.427004393737308,1,0,0,0,0,1
M,23.284399614871823,35.32823687576223,1317.389913692105,42.84115798304325,24,12.043837260890406,5.909791562068187,1,0,1,0,0,0
L,28.715857121855365,36.222612736764276,1469.478033512292,39.29565304172445,76,7.506755614908911,6.046502508621421,0,0,0,0,0,0
H,27.31922717685056,31.6218303478398,1487.9564437128477,37.79856834343981,141,4.30260317098924,5.8892799298158875,0,0,0,0,0,0
H,26.14903468123436,41.73272231638552,1527.5884735489885,28.669145032624165,171,15.583687635151158,4.585827800873394,1,0,1,0,0,0
M,20.627133548530868,25.11393284463704,1309.1351228559295,33.38739428418263,123,4.486799296106174,4.576817855294532,0,0,0,0,0,0
L,26.156383790111175,38.384705065637846,1891.4540947587382,40.96603651491495,24,12.228321275526671,8.113652095515379,1,0,1,1,0,0
H,26.04840041681894,28.908177281228298,1430.9379431816128,54.32654372134512,34,2.8597768644093584,8.140095574113879,1,0,0,1,0,0
M,22.44373371962967,33.782340664538985,1307.2655167428,43.429653611693524,220,11.338606944909316,5.94493074038234,1,1,0,0,0,0
H,25.517420266947667,27.008972569136333,1552.8512318057067,51.380011633669355,206,1.4915523021886656,8.35450412099843,0,0,0,0,0,0
H,27.102984992517378,28.404877325753326,1719.123264340708,22.573260561291878,78,1.3018923332359478,4.063478259993869,0,0,0,0,0,0
L,26.138731837187546,34.564594974158425,1822.1823626159824,53.62973134131139,174,8.425863136970879,10.23279063476138,0,0,0,0,0,0
H,23.639661196599548,35.36369742520039,1020.3519610378513,46.570627425873866,174,11.724036228600845,4.97575193934592,0,0,0,0,0,0
L,25.026529286167946,40.29900016406824,1653.456130814352,50.39300677457703,231,15.272470877900293,8.724882303831787,0,0,0,0,0,0
H,26.460713862402397,33.00462422167421,1851.3808827020393,20.569452266137322,144,6.543910359271816,3.9876325333171496,0,0,0,0,0,0
M,25.1189040684353,38.082027287888394,1380.9492492879497,36.057864761272725,88,12.963123219453095,5.214039923874973,0,0,0,0,0,0
H,27.50856977821379,34.94869337971939,1453.6725607904152,29.5144479000259,22,7.440123601505597,4.492601367449836,0,0,0,0,0,0
L,25.791363113680216,37.889641130426654,1310.276026448996,47.10377581336506,237,12.098278016746438,6.462717089369664,1,1,0,0,0,0
L,26.50584533057566,29.54029396850705,1388.1418168018229,45.09793892805451,223,3.0344486379313906,6.555218311791334,1,1,0,0,0,0
M,26.64280129398352,35.44403900931804,1286.9535847285906,49.345585757043416,121,8.80123771533452,6.649788322571634,0,0,0,0,0,0
H,22.866634593388273,36.866095076238466,1686.9524969527201,36.20977123979801,222,13.999460482850193,6.396247540006706,0,0,0,0,0,0
H,25.09997207071336,32.51684906644604,1478.758076511657,48.20499286131159,214,7.416876995732682,7.46424319600537,1,1,0,0,0,0
M,24.33529105296207,36.904683627780855,899.2686161750793,40.03082237126724,229,12.569392574818785,3.7694724856711934,0,0,0,0,0,0
H,27.087691989614157,37.37975771367965,1379.42007105545,51.73207442911871,16,10.292065724065495,7.472278720927829,0,0,0,0,0,0
H,25.92646609340805,32.41084904397807,1361.8683010876803,46.88837657742107,28,6.484382950570019,6.6864705497645875,0,0,0,0,0,0
L,24.62357507578882,38.87713665878428,1671.092139249143,32.74252102347038,1,14.25356158299546,5.7293999478032624,1,0,1,0,0,0
H,22.436297193114672,23.485340121106724,1486.4532621173664,42.887429922685364,10,1.0490429279920512,6.67540943585399,0,0,0,0,0,0
H,21.806183335758917,25.42316062001404,1481.112326526869,26.155643218308555,15,3.6169772842551247,4.056486448049813,0,0,0,0,0,0
M,25.62068523988991,29.82890409692793,1628.5819138951351,51.93868444395126,178,4.20821885703802,8.85721488135347,0,0,0,0,0,0
M,23.56557464553308,36.40674946549467,1711.5586450074898,46.64999876998577,80,12.84117481996159,8.360650124016535,1,0,1,0,0,0
L,26.332252936194465,31.225146337155984,1553.5090801813135,47.04183285415134,20,4.892893400961519,7.652347066732538,0,0,0,0,0,0
H,21.713719469847547,28.311251991478038,1369.194623735059,49.18658833197757,20,6.597532521630491,7.051938461153221,0,0,0,0,0,0
H,28.18590239641778,34.557101984759385,1198.998528083615,42.21126762507171,5,6.371199588341604,5.299607094346024,0,0,0,0,0,0
H,26.32772817986335,35.50185486362474,1789.997876996973,25.409767361712763,45,9.174126683761394,4.762662788738515,0,0,0,0,0,0
L,25.198370179955454,31.817164893889874,2177.822478446318,49.64941339845208,236,6.61879471393442,11.322262674431702,1,1,0,0,0,0
L,28.366117872805464,29.077631535326617,1524.8110532919065,32.63991848074396,22,0.7115136625211527,5.211487798741901,0,0,0,0,0,0
M,26.896835868442274,35.0354920008878,1563.278983826806,31.80307178197127,57,8.138656132445526,5.205976307632567,0,0,0,0,0,0
L,24.049993522765913,38.9746946448782,1800.837810471528,47.52202943815882,184,14.924701122112285,8.961200779327479,0,0,0,0,0,0
H,25.15515261955666,28.928758548716946,1157.4607503125533,34.76627633412433,188,3.7736059291602864,4.213675423169541,0,0,0,0,0,0
H,21.07145140037051,42.9047983494091,1690.830289437835,41.67526152931117,223,21.83334694903859,7.3786172265971395,0,0,0,0,0,0
L,27.1283806210977,32.166872862098735,1575.14898248665,47.267277152068615,38,5.038492241001034,7.796126022093755,0,0,0,0,0,0
H,24.408096644016556,31.81652896573186,1346.1693683899505,46.96502996832537,172,7.408432321715303,6.62019735380897,0,0,0,0,0,0
H,21.045550309522035,35.67141395825497,1395.988014803747,51.01177444435633,229,14.625863648732938,7.456735679391991,0,0,0,0,0,0
L,22.636322861182016,35.51645986929895,1236.9003920340492,34.499153235717486,156,12.880137008116932,4.4682739436755705,1,0,1,0,0,0
L,26.74182409689882,23.830267512949433,1725.014995196954,36.961580132892294,30,-2.9115565839493875,6.676364395331207,0,0,0,0,0,0
H,28.227605430072305,34.459160059068225,1292.047148870881,43.512456224343296,216,6.231554628995919,5.886926178537359,1,1,0,0,0,0
H,25.040851037836173,37.889993718672336,1582.4069075192556,27.145138920422102,1,12.849142680836163,4.497869668402694,1,0,1,0,0,0
H,23.035897316014214,40.139621404138225,1174.7232032688435,31.977531553045228,85,17.10372408812401,3.9334814972380947,0,0,0,0,0,0
M,22.158500620641796,34.421185821370095,1778.894130951536,31.12674766637083,164,12.2626852007283,5.798030234483401,0,0,0,0,0,0
M,27.829229236282217,33.219548090400075,1459.026540601921,19.003059037746826,43,5.390318854117858,2.903242668973594,0,0,0,0,0,0
M,25.898935556894454,38.62340546679232,1714.4448815941287,34.61370123273645,206,12.724469909897866,6.213956325810827,1,0,1,0,0,0
L,24.339720758710506,43.95885145533053,1457.6223916290908,40.11549811166715,197,19.619130696620026,6.122853225017858,0,0,0,0,0,0
M,23.863456427848917,35.46770360496749,1378.6107673904082,41.60671046839509,126,11.604247177118573,6.0062260782643655,0,0,0,0,0,0
L,26.343659275467257,34.0879530826894,1231.895502165691,35.39587997384049,62,7.744293807222146,4.565866527222068,0,0,0,0,0,0
L,26.28863698814272,41.28431829723429,1710.7549427126162,31.407670830921443,121,14.995681309091573,5.62626472388374,1,0,1,0,0,0
M,23.20683117308811,29.3510523104636,1427.2611023583133,38.8008044746779,224,6.144221137375492,5.798835493918133,1,1,0,0,0,0
M,22.715255018198114,35.31324324738936,1559.3918913819914,34.91544376612821,74,12.597988229191245,5.701241873602537,1,0,1,0,0,0
M,22.81619460857301,47.03825912928417,1358.4008692144494,16.393882456266383,52,24.22206452071116,2.331881065800185,1,0,1,0,0,0
H,24.063550839051288,37.26689343490892,1496.5942287867135,31.350805000918513,75,13.203342595857634,4.913029720648407,0,0,0,0,0,0
M,23.620429092834488,38.833914244982836,1541.0761631073578,43.072668640612946,215,15.213485152148348,6.950603447483812,1,1,1,0,0,0
H,28.236184036339132,33.3565061969686,1148.9201466942766,39.90237802701801,130,5.12032216062947,4.800486493848378,0,0,0,0,0,0
L,23.99243875548112,37.931512853328805,1363.5799911235365,41.90965788700252,93,13.939074097847683,5.983996955973753,1,0,1,0,0,0
H,22.50066710410054,41.07930560472329,1815.0005744592777,46.15417996195453,18,18.57863850062275,8.771713418287368,1,0,1,0,0,0
M,22.613005118200945,27.429118723407715,1336.5226757630276,42.72554678966919,44,4.81611360520677,5.979441059556764,0,0,0,0,0,0
L,24.63205679791681,34.518572092323744,1680.4783479722091,40.87611211293191,188,9.886515294406934,7.192818990059331,0,0,0,0,0,0
L,21.35575175404232,36.74873593887884,1565.262516691612,35.953242336837434,234,15.392984184836518,5.892802364751997,0,0,0,0,0,0
L,24.879758572275207,34.7182011811611,1602.2624083129258,33.163454963300254,54,9.838442608885892,5.564037404971174,0,0,0,0,0,0
H,22.327580999036872,32.5643297531597,1626.7510293496925,40.6233576226114,198,10.236748754122825,6.919799877300918,0,0,0,0,0,0
M,27.317220733483403,41.975918543906864,1504.0672790352542,29.76169406640984,203,14.658697810423462,4.687286933397353,0,0,0,0,0,0
L,25.23312469848389,36.0181457463486,1386.1906992240076,47.07790972739031,241,10.78502104786471,6.833399016022606,1,1,0,0,0,0
L,29.242047203064885,31.49437452791489,1351.0204867194218,30.474999205492374,28,2.252327324850004,4.311240655432282,0,0,0,0,0,0
L,24.54359884099558,39.921151087555224,1433.8544081445973,53.99803979353253,47,15.377552246559645,8.107364124515602,0,0,0,0,0,0
H,18.73651233205949,41.94875256447295,1750.098946289337,39.44873196848531,71,23.212240232413457,7.229233952931583,1,0,1,0,0,0
H,27.915362400712407,40.70372730887675,1228.817953949992,51.404463784944866,62,12.788364908164343,6.614317069331142,0,0,0,0,0,0
M,26.003846316954135,32.92190639456601,1437.6941967245236,29.26398553202229,148,6.918060077611873,4.40551436360407,0,0,0,0,0,0
H,26.313815757921347,33.137939317876224,1197.0730661681969,56.45769764335242,56,6.824123559954877,7.076857510651818,0,0,0,0,0,0
L,22.994832820511903,29.799557564723905,1383.5709494017433,29.15739175467316,12,6.8047247442120025,4.2242220096431105,0,0,0,0,0,0
M,24.914303888809222,36.26995711184654,1475.1536887076127,39.46139637605316,240,11.355653223037315,6.095458055045868,1,1,0,0,0,0
L,25.37292175027132,40.49279106392676,1778.975668269533,26.96299625136998,154,15.119869313655439,5.02267165181464,0,0,0,0,0,0
L,24.524358764787802,37.82090503430639,1800.6549479957598,40.21109155908617,195,13.29654626951859,7.581811620961156,0,0,0,0,0,0
H,21.531274349493053,43.76034899785467,1140.5228655742887,38.59725804793802,223,22.229074648361618,4.609534591847597,1,1,1,0,0,0
M,30.53738409651811,25.29815202119073,1197.6490962316927,17.125780504428928,87,-5.239232075327379,2.147714716585513,0,0,0,0,0,0
H,26.67165847565645,35.70089636217133,1466.8556354855457,41.44880386695759,191,9.029237886514878,6.3664305273698245,0,0,0,0,0,0
H,25.841168094040793,39.158292118325974,1652.2938215107556,45.20295520587474,104,13.317124024285182,7.820792000072699,1,0,1,0,0,0
M,27.627771242027958,31.955513404581268,1179.4384032665498,31.41619422364304,8,4.32774216255331,3.8799440787272617,1,0,0,0,0,1
L,26.288384422077684,29.34240175450681,1425.9147490895718,37.15782016893499,73,3.054017332429126,5.548050662084018,0,0,0,0,0,0
L,23.645594239840598,28.96413677084081,1707.1265008186283,37.78313149959998,74,5.318542531000212,6.753987965118556,0,0,0,0,0,0
M,27.499565515635382,35.52200515425977,1731.4074861144259,56.531899218006785,96,8.022439638624391,10.249188849248503,0,0,0,0,0,0
L,26.70443201315603,28.839330366710033,1439.121680795425,41.98579901789203,240,2.1348983535540036,6.326981534258396,0,0,0,0,0,0
M,23.72142836537188,42.365200661671516,1099.7580355153007,34.533487520578014,134,18.643772296299634,3.9768042298558144,1,0,1,0,0,0
M,26.58002933657009,37.57468729699602,1709.8352412663735,29.030934054130803,138,10.99465796042593,5.197708286139573,0,0,0,0,0,0
H,24.51885993564784,33.99630019545062,1315.8764132058918,22.89224984389874,108,9.477440259802783,3.154279750241111,0,0,0,0,0,0
M,25.416956399597225,34.597513331488535,1607.548858645996,38.749747586341186,27,9.18055693189131,6.522734293742745,0,0,0,0,0,0
H,26.199300933826454,40.40962680570439,1320.144840781712,41.168079499312626,101,14.210325871877938,5.6908720163255415,0,0,0,0,0,0
L,27.73699540260992,41.70449763930237,1520.1728428104957,27.899520157853054,93,13.967502236692447,4.441056845174053,0,0,0,0,0,0
L,23.70800802974589,30.33041098722311,1562.0145733437644,25.832066329452736,118,6.62240295747722,4.225137598553711,0,0,0,0,0,0
L,25.729924361304526,31.33419563665391,1756.8403880219823,44.72040597534394,71,5.604271275349383,8.226870721070556,1,0,0,1,0,0
L,29.03145245246239,33.21333838821718,1218.4488268048808,49.78032346501355,26,4.181885935754792,6.351285520828612,0,0,0,0,0,0
H,24.647905007946097,31.876975505836228,1323.6678057802417,37.1078985165598,149,7.229070497890131,5.143301634191685,0,0,0,0,0,0
